ICD10,PHECODE,Excl. Phecodes,Excl. Phenotypes
M15.2,740.2,740-740.99, osteoarthritis
F60.6,301,295-306.99, psychological disorders
Z00-Z99.9,1010,,
H72,384.4,381-385.99, otitis media and related conditions
I25.3,411.41,410-414.99,ISCHEMIC HEART DISEASE
T34.7,1014,,
P56.0,656.1,656-656.99,Other and unspecified perinatal conditions
N02.5,580.11,580-590.99, diseases of kidney and ureters
R55,788,788-788.99, Syncope and collapse
N18.8,585,580-590.99, diseases of kidney and ureters
Y23,297,295-306.99, psychological disorders
H54.6,367.9,367-367.99,Blindness and low vision
O31.0,634,634-636.99,complications of pregnancy
K26.0,531.1,531-531.99, gastro ulcer
M65.9,727.1,725-729.99,"Rheumatism, Excluding The Back"
I30.0,420.21,420-425.99, Other peri-; endo-; and myocarditis
T30.1,1000,,
L12.9,695.22,690-697.99, Other inflammatory condition of skin
D01.1,153.3,"150-159.99, 208-208.99", GI cancer; benign neoplasms of colon
K80.5,574.2,574-576.99, Biliary tract disease
C78.4,198.3,195-199.99,"Neoplasms: malignant, secondary or uncertain"
E60,262,260-264.99,Nutritional deficiencies
O70.2,665,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
C16.6,151,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
L04.1,289.4,288-289.99,Other diseases of the blood
G55.2,353,351-355.99, mononeuritis and nerve lesions
M81.5,743.13,743-744.99," osteopenia, osteoporosis, pathological fractures"
K02.9,521.1,520-526.99, Disorders of teeth and jaw
S31.2,870.8,870-879.99, Open wound
S36.4,1008,,
T49.0,976,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
M81.4,743.13,743-744.99," osteopenia, osteoporosis, pathological fractures"
Q56.0,751.1,750-751.99," congenital anomalies of gi, urinary tract"
M60.1,728,725-729.99,"Rheumatism, Excluding The Back"
C78.6,198.3,195-199.99,"Neoplasms: malignant, secondary or uncertain"
I28,415,415-417.99,DISEASES OF PULMONARY CIRCULATION
A26.0,41,,
B20.7,136,130-136.99, Other infections; including parasitic
A26.0,529.1,527-529.99, Diseases of mouth; excluding dental
K81.1,574.3,574-576.99, Biliary tract disease
B15.0,70.1,,
O88.8,671,670-677.99,COMPLICATIONS OF THE PUERPERIUM
C85.0,202.23,200-204.99, cancer of lymphatic and hematopoietic tissue
T87,874,870-879.99, Open wound
G46.7,433,430-438.99,CEREBROVASCULAR DISEASE
F91.1,312,312-315.99,Developmental/behavioral disorders
H35.8,362,"250.70-250.79,360-365.99", diabetic retinopathy and degenerative disorders of the eye
T53.0,981,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
Z94.4,573.2,570-573.99, Liver disease
F92,312,312-315.99,Developmental/behavioral disorders
L70.9,706.1,705-706.99, disorders of sweat and sebaceous glands
K59.3,564,555-564.99, noninfective gastrointestinal disorders
F65.2,302,295-306.99, psychological disorders
E11.2,250.22,249-250.99,DIABETES
I45.1,426.31,426-427.99, cardiac conduction disorders
B50-B64.9,136,130-136.99, Other infections; including parasitic
D40.0,187.8,"185-187.99, 222-222.99", cancer/benign neoplasm of male genital organs
Z94.2,510.2,510-510.99, Other diseases of the lung
H49.9,378.5,375-379.99, other eye disorders
G00.1,320,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
O40,653,652-654.99,Other and unspecified complications of birth affecting mother
B46.0,117,110-118.99, Mycoses
S90.2,916,916-916.99, Contusion
S55.9,1007,,
G99.2,334,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
B74.4,134,130-136.99, Other infections; including parasitic
L94.8,701,700-701.99, hypertrophic skin conditions
I74.2,444,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
P14.0,665,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
Y25,297,295-306.99, psychological disorders
S34.4,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
G03.9,320,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
B52.9,133,130-136.99, Other infections; including parasitic
O10.1,649,649-649.99," Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium"
S37.4,1008,,
A96.8,79,,
Q92.4,758.1,756-759.99, All other congenital anomalies
D17.5,214,214-215.99,Lipoma and Other benign neoplasm of connective and other soft tissue
O10.1,642,642-642.99," Hypertension complicating pregnancy, childbirth, and the puerperium"
O61.0,645,645-645.99, Late pregnancy and failed induction
P83.1,656.7,656-656.99,Other and unspecified perinatal conditions
K61.3,565,565-569.99, Other gastrointestinal
T24,1000,,
O42.1,653,652-654.99,Other and unspecified complications of birth affecting mother
A39.2,38.1,,
E74.9,271.9,271-271.99,Disorders of carbohydrate transport &amp; metabolism
K25.5,531.2,531-531.99, gastro ulcer
Y41.2,961,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
D73.3,289.5,288-289.99,Other diseases of the blood
I65.2,433.1,430-438.99,CEREBROVASCULAR DISEASE
E27.3,255.21,251-259.99,Other endocrine disorders
T11.9,1009,,
J00-J99.9,519,519-519.99,tracheostomy complications
I67.7,433,430-438.99,CEREBROVASCULAR DISEASE
Q91.6,758.1,756-759.99, All other congenital anomalies
A98.2,79,,
A69.2,130.1,130-136.99, Other infections; including parasitic
S64.0,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
C81.2,201,200-204.99, cancer of lymphatic and hematopoietic tissue
B88.3,136,130-136.99, Other infections; including parasitic
N39.9,599,599-599.99, Other symptoms/disorders or the urinary system
I63,433.2,430-438.99,CEREBROVASCULAR DISEASE
M75.1,726,725-729.99,"Rheumatism, Excluding The Back"
C57.7,184.1,"174-184.99, 220-221.99", cancer of female genital organs; benign neoplasm of female genital organs
K50-K52.9,558,555-564.99, noninfective gastrointestinal disorders
M75.1,726.1,725-729.99,"Rheumatism, Excluding The Back"
K92.1,578.2,578-579.99, Other diseases of digestive system
S54.8,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
Q45,750,750-751.99," congenital anomalies of gi, urinary tract"
Q63,751.22,750-751.99," congenital anomalies of gi, urinary tract"
A65-A69.9,130,130-136.99, Other infections; including parasitic
A77.9,136,130-136.99, Other infections; including parasitic
T34.9,1014,,
Q71.5,755.4,754-756.99, congenital musculoskeletal anomalies
S54.8,351,351-355.99, mononeuritis and nerve lesions
Q76.5,754,754-756.99, congenital musculoskeletal anomalies
K50-K52.9,555,555-564.99, noninfective gastrointestinal disorders
K31.0,536,535-537.99, disorders of stomach
H50.2,378.1,375-379.99, other eye disorders
B30.9,369.2,369-374.99, infection/inflammation of eye
S37.2,1008,,
R02,791,791-791.99, Gangrene
M65.2,727,725-729.99,"Rheumatism, Excluding The Back"
T21.1,1000,,
Q55,751.1,750-751.99," congenital anomalies of gi, urinary tract"
A96.2,79,,
A06.0,8,,
T29.0,1000,,
E55,261.4,260-264.99,Nutritional deficiencies
Q13.2,753,752-754.99," congenital anomalies of nervous system, spine"
N95.8,627,626-628.99," menstrual/menopausal disorders, female infertility"
Q24.6,747.1,747-747.99," congenital anomalies, circulatory and cardiac"
A26.9,41,,
L40.8,696.41,"690-697.99, 714-714.99",
D41.2,199,195-199.99,"Neoplasms: malignant, secondary or uncertain"
A92.8,79,,
M13.9,716.9,710-716.99,Arthropathies
I25.5,411.8,410-414.99,ISCHEMIC HEART DISEASE
Q35.9,749.1,747-759.99,
R41.3,292.3,290-292.99, dementia and related cognitive disorders/symptoms
Q44.0,750.22,750-751.99," congenital anomalies of gi, urinary tract"
A92,79,,
M13.9,740.9,740-740.99, osteoarthritis
R22.7,729,725-729.99,"Rheumatism, Excluding The Back"
T37.4,961,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
B30.2,369.2,369-374.99, infection/inflammation of eye
R70.0,790.1,790-790.99,Nonspecific findings on examination of blood
L00,695.8,690-697.99, Other inflammatory condition of skin
Z64.1,654,652-654.99,Other and unspecified complications of birth affecting mother
D05.7,174.1,"174-184.99, 610-610.99", cancer of female genital organs; breast dysplasia
K51.1,555.21,555-564.99, noninfective gastrointestinal disorders
Q98.0,758.1,756-759.99, All other congenital anomalies
H47.6,377,375-379.99, other eye disorders
S92.3,801,800-809.99, Fractures
S51.9,871,870-879.99, Open wound
N07.5,580.11,580-590.99, diseases of kidney and ureters
X77,297.2,295-306.99, psychological disorders
C13,149.3,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
K22.8,530.2,"530-530.99, 532-532.99", esophageal disorders
F79,315.3,312-315.99,Developmental/behavioral disorders
L55.2,938.1,930-949.99, allergic reactions
Q78.9,756.5,754-756.99, congenital musculoskeletal anomalies
C67.6,189.21,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs"
Q26.1,747.13,747-747.99," congenital anomalies, circulatory and cardiac"
P94,656,656-656.99,Other and unspecified perinatal conditions
L03.1,681.5,680-686.99, Skin and subcutaneous tissue infections
C55,182,"174-184.99, 218-218.99", cancer of female genital organs; benign neoplasm of uterus
Q41.0,750.21,750-751.99," congenital anomalies of gi, urinary tract"
A51.0,90,,
T40.1,316,316-319.99, Substance-related disorders
L70.2,706.1,705-706.99, disorders of sweat and sebaceous glands
G91.9,331.1,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
L03.1,681.6,680-686.99, Skin and subcutaneous tissue infections
A63.0,78,,
C77.4,198.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
S84.9,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
P83.6,656.7,656-656.99,Other and unspecified perinatal conditions
L03.1,681.3,680-686.99, Skin and subcutaneous tissue infections
D40,187.8,"185-187.99, 222-222.99", cancer/benign neoplasm of male genital organs
D83.2,279.11,279-279.99,Other Immune Disorders
B50.8,133,130-136.99, Other infections; including parasitic
M35.6,729.3,725-729.99,"Rheumatism, Excluding The Back"
B90.1,10,,
G92,349,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
S38.2,872,870-879.99, Open wound
T91.3,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
C73-C75.9,193,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands"
S38.2,870.8,870-879.99, Open wound
S05.1,916,916-916.99, Contusion
D26.1,218.2,"217-223.99, 180-184.99"," benign neoplasm of breast, ovary, uterus, and other genitourinary organs; uterine/ovarian cancer"
T70.2,1014,,
R85.5,1010,,
B97.3,79,,
S66.3,1009,,
K26.3,531.3,531-531.99, gastro ulcer
B66.2,134,130-136.99, Other infections; including parasitic
D13.7,211,"211-211.99, 150-159.99",Cancer/benign neoplams of digestive system
F91.9,312,312-315.99,Developmental/behavioral disorders
Z86.5,306,295-306.99, psychological disorders
G47.9,327,327-328.99,Sleep disorders
B19.0,70,,
K40.2,550.1,550-550.99, Abdominal hernia
O23.1,647.1,647-647.99, Infectious and parasitic complications affecting pregnancy
E16.8,251,251-259.99,Other endocrine disorders
K31.1,537,535-537.99, disorders of stomach
J38.4,473,470-479.99, other/chronic upper respiratory disease
P91.4,656,656-656.99,Other and unspecified perinatal conditions
D39.0,184.2,"174-184.99, 220-221.99", cancer of female genital organs; benign neoplasm of female genital organs
Q14.9,753.2,752-754.99," congenital anomalies of nervous system, spine"
S22.0,805,800-809.99, Fractures
C54.2,182,"174-184.99, 218-218.99", cancer of female genital organs; benign neoplasm of uterus
T31,1000,,
I84.1,455,450-457.99, diseases of veins and lymphatics
I08.2,395.2,394-399.99, heart valve disorders
D12.7,208,"153-153.99, 208-208.99", Benign and malignant neoplasm of colon
I08.2,394.3,394-399.99, heart valve disorders
Q24.2,747.1,747-747.99," congenital anomalies, circulatory and cardiac"
S20.7,915,910-919.99,"superficial, contusion, crushing injuries"
C63,187.1,"185-187.99, 222-222.99", cancer/benign neoplasm of male genital organs
I08.2,394.7,394-399.99, heart valve disorders
Y44.2,964.1,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
L00-L99.9,689,689-689.99, Other skin disorders NOS
Q43.2,750.21,750-751.99," congenital anomalies of gi, urinary tract"
P57.8,656,656-656.99,Other and unspecified perinatal conditions
E40,260.21,260-264.99,Nutritional deficiencies
P52.1,656.4,656-656.99,Other and unspecified perinatal conditions
K56.0,560.1,555-564.99, noninfective gastrointestinal disorders
T21.2,1000,,
Z28,941,930-949.99, allergic reactions
C47.1,170.2,170-171.99,"Cancer of bone, connective tissue"
E61.7,263,260-264.99,Nutritional deficiencies
Z87.1,564.9,555-564.99, noninfective gastrointestinal disorders
L67,704.8,703-704.99, Diseases of hair and nails
T20.3,1000,,
J38.7,473,470-479.99, other/chronic upper respiratory disease
S39.9,915,910-919.99,"superficial, contusion, crushing injuries"
Y83-Y84.9,851,850-859.99, Complications
Z20.1,1010,,
O72.1,635.3,634-636.99,complications of pregnancy
F13.4,316,316-319.99, Substance-related disorders
X10,1014,,
B66.5,134,130-136.99, Other infections; including parasitic
S39.9,1009,,
E41,260.22,260-264.99,Nutritional deficiencies
L23.9,939,930-949.99, allergic reactions
J30.2,476,470-479.99, other/chronic upper respiratory disease
Q96.4,758.1,756-759.99, All other congenital anomalies
O80.9,650,650-650.99,Normal delivery
T43.3,969,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
B81.2,134.1,130-136.99, Other infections; including parasitic
M18.3,836,830-839.99, joint disorders and dislocations; trauma-related
O71.9,665,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
Y56.3,976,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
T52.2,981,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
S60.1,916,916-916.99, Contusion
Y56.3,979,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
N89.3,620,620-623.99," dysplasia, hyperplasia, polyp of female genital organs"
K59.1,564,555-564.99, noninfective gastrointestinal disorders
Q82.9,691,690-697.99, Other inflammatory condition of skin
N81.6,618.1,617-618.99, prolapse/fistula and other disorders often associated with childbirth
B94.2,136,130-136.99, Other infections; including parasitic
E24.2,255.11,251-259.99,Other endocrine disorders
K61.2,565,565-569.99, Other gastrointestinal
R07.0,478,470-479.99, other/chronic upper respiratory disease
Q82.0,757,756-759.99, All other congenital anomalies
G98,349,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
G36.9,341,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
O34.0,619.2,619-619.99, Other noninflammatory female genital disorders
D22.0,216,216-217.99,Benign neoplasm of skin
K57.3,562.1,555-564.99, noninfective gastrointestinal disorders
Q68.0,749,748-749.99," congenital anomalies of respiratory system, face and neck"
C92.9,204.2,200-204.99, cancer of lymphatic and hematopoietic tissue
E87.8,276.1,276-276.99,"Disorders of fluid, electrolyte, and acid-base balance"
M25.7,726.1,725-729.99,"Rheumatism, Excluding The Back"
D04.4,172.3,172-173.99,Malignant neoplasm of skin
N04.7,580.2,580-590.99, diseases of kidney and ureters
N84.9,622.1,620-623.99," dysplasia, hyperplasia, polyp of female genital organs"
C91.4,204,200-204.99, cancer of lymphatic and hematopoietic tissue
E34.8,259,251-259.99,Other endocrine disorders
R13,532,"530-530.99, 532-532.99", esophageal disorders
E50.7,261.1,260-264.99,Nutritional deficiencies
T42.8,966,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
P13.9,665,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
E26.8,255.12,251-259.99,Other endocrine disorders
A90-A99.9,79,,
H31.4,363,360-365.99, Degenerative disorders of the eye
F65.5,302,295-306.99, psychological disorders
J34.1,479,470-479.99, other/chronic upper respiratory disease
D32,225.1,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
T50.3,974,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
A44.9,133,130-136.99, Other infections; including parasitic
M06.1,714.1,"714-716.00, 696-696.99", Autoimmune arthritis and psoriasis
H47.5,377,375-379.99, other eye disorders
B36.2,110.2,110-118.99, Mycoses
S81.8,1009,,
K13.4,528,527-529.99, Diseases of mouth; excluding dental
E13.5,250.2,249-250.99,DIABETES
O65.1,652,652-654.99,Other and unspecified complications of birth affecting mother
C85.1,202.2,200-204.99, cancer of lymphatic and hematopoietic tissue
I27.0,415.21,415-417.99,DISEASES OF PULMONARY CIRCULATION
Q76.0,752.1,752-754.99," congenital anomalies of nervous system, spine"
O29.0,646,646-646.99, Other complications of pregnancy NEC
N92.4,627.4,626-628.99," menstrual/menopausal disorders, female infertility"
C79.1,198,195-199.99,"Neoplasms: malignant, secondary or uncertain"
T79.0,958,958-959.99,Certain traumatic complications and unspecified injuries
J68.4,500,500-509.99, Pneumoconioses and other lung diseases
N20.1,594.3,594-595.99, urinary calculus
C94.1,204,200-204.99, cancer of lymphatic and hematopoietic tissue
S92.2,801,800-809.99, Fractures
O35.3,655,655-655.99,Known or suspected fetal abnormality (mother)
G51.9,352.2,351-355.99, mononeuritis and nerve lesions
A80.2,324,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
F16.1,316,316-319.99, Substance-related disorders
F45.9,303.4,295-306.99, psychological disorders
